0x0000 (NoSymbol)
0xff0a (Linefeed)
0xff0d (Return)
0xff13 (Pause)
0xff14 (Scroll_Lock)
0xff15 (Sys_Req)
0xff1b (Escape)
0xff20 (Multi_key)
0xff22 (Muhenkan)
0xff23 (Henkan_Mode)
0xff25 (Hiragana)
0xff26 (Katakana)
0xff27 (Hiragana_Katakana)
0xff31 (Hangul)
0xff34 (Hangul_Hanja)
0xff50 (Home)
0xff51 (Left)
0xff52 (Up)
0xff53 (Right)
0xff54 (Down)
0xff55 (Prior)
0xff56 (Next)
0xff57 (End)
0xff61 (Print)
0xff63 (Insert)
0xff65 (Undo)
0xff66 (Redo)
0xff67 (Menu)
0xff68 (Find)
0xff69 (Cancel)
0xff6a (Help)
0xff6b (Break)
0xff7e (Mode_switch)
0xff7f (Num_Lock)
0xff8d (KP_Enter)
0xff95 (KP_Home)
0xff96 (KP_Left)
0xff97 (KP_Up)
0xff98 (KP_Right)
0xff99 (KP_Down)
0xff9a (KP_Prior)
0xff9b (KP_Next)
0xff9c (KP_End)
0xff9d (KP_Begin)
0xff9e (KP_Insert)
0xff9f (KP_Delete)
0xffaa (KP_Multiply)
0xffab (KP_Add)
0xffac (KP_Separator)
0xffad (KP_Subtract)
0xffae (KP_Decimal)
0xffaf (KP_Divide)
0xffb0 (KP_0)
0xffb1 (KP_1)
0xffb2 (KP_2)
0xffb3 (KP_3)
0xffb4 (KP_4)
0xffb5 (KP_5)
0xffb6 (KP_6)
0xffb7 (KP_7)
0xffb8 (KP_8)
0xffb9 (KP_9)
0xffbd (KP_Equal)
0xffbe (F1)
0xffbf (F2)
0xffc0 (F3)
0xffc1 (F4)
0xffc2 (F5)
0xffc3 (F6)
0xffc4 (F7)
0xffc5 (F8)
0xffc6 (F9)
0xffc7 (F10)
0xffc8 (F11)
0xffc9 (F12)
0xffe1 (Shift_L)
0xffe2 (Shift_R)
0xffe3 (Control_L)
0xffe4 (Control_R)
0xffe5 (Caps_Lock)
0xffe7 (Meta_L)
0xffe9 (Alt_L)
0xffeb (Super_L)
0xffec (Super_R)
0xffed (Hyper_L)
0xffff (Delete)
